mbid,name,main_genre
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,hip hop
eb90c8b8-d733-4c14-a293-105c3d1ba9b3,Becky G,latin
c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,contemporary r&b
b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,Post Malone,hip hop
47e7833f-f1a7-4703-942d-9acf12f39a1d,Arcángel,latin
31bcadcc-e1da-4cad-bec8-2f4f1d41b095,Meek Mill,hip hop
942a9807-9c1a-4a0e-a285-1fde2c5be9d1,Big Sean,hip hop
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,pop
5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,hip hop
7bd66c18-cb33-49aa-9279-140acedbdb49,Ty Dolla $ign,hip hop
79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,pop
36494952-f434-45d8-a958-8b4acdbcf8a8,Gucci Mane,hip hop
5bdeb32d-56a5-4b6d-a768-264101fa0a0a,J Balvin,reggaeton
dff0d392-4cd5-4052-9fbb-f485df3891e5,2 Chainz,hip hop
b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,indie pop
7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,pop
b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,pop
d2b3524f-67e8-45ef-bfc1-693cac525135,Farruko,latin
0ab49580-c84f-44d4-875f-d83760ea2cfe,Maroon 5,pop
92da4329-77a4-425c-8e92-4280110cace9,Lil Peep,cloud rap
13bcb2bb-db37-4397-baf5-e0f085be2d64,Rick Ross,hip hop
bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Fleetwood Mac,rock
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,pop rap
d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,dance-pop
91a81925-92f9-4fc9-b897-93cf01226282,The Chainsmokers,electro house
1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,hip hop
272989c8-5535-492d-a25c-9f58803e027f,SZA,contemporary r&b
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,hip hop
d42a5768-ada1-4fb6-85fd-f61aba6264e0,Lil Baby,hip hop
381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,hip hop
07cc14fb-4784-4a25-804b-2686ed5ef52c,The Game,hip hop
3414d446-735a-443c-931f-10634f57e5b9,Usher,contemporary r&b
faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Demi Lovato,pop
164f0d73-1234-4e2c-8743-d77bf2191051,Ye,hip hop
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,hip hop
ce09ea31-3d4a-4487-a797-e315175457a0,Tyga,hip hop
45dc5f07-6609-4760-a933-8c9e0f858d05,French Montana,hip hop
0638ba22-040f-438d-83a5-9b670c4adaf5,Ludacris,hip hop
dcad99e7-3c3e-4c78-bf8a-68203e17da48,Jeezy,hip hop
2f3c4d70-0462-40da-bba3-0aec5772c556,Cardi B,hip hop
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,pop
01388d66-9bb4-4ad3-8fee-37a4bd64d28d,$tupid Young,trap
603ba565-3967-4be1-931e-9cb945394e86,*NSYNC,pop
66c0ac71-339a-44a5-a549-66d305b61fce,03 Greedo,hip hop
741dbc8e-1cd5-4a66-b2b8-43bbad87ae12,070 Shake,alternative hip hop
5c3153a9-25ee-41fd-b3ed-8cae4c694e63,21 Lil Harold,hip hop
bad323d3-10f3-47d9-9349-73b16df3d58f,24Heavy,
e3de6583-99d7-4b91-94b2-3e7aecec300b,24hrs,
c8e94c78-0e17-4d9a-b1f6-96e1b22ebe97,2CELLOS,classical crossover
125948ec-7f91-4d1a-8b83-accbf50fae3d,3OH!3,crunkcore
8275ed69-a0f8-4bad-b6e0-2c57d306e593,3T,
a5f93663-f869-416b-a62e-c526ddba287b,40 Glocc,
4214aa04-64b0-442a-982b-0560e6d3a5bd,42 Dugg,detroit trap
830e5c4e-6b7d-431d-86ab-00c751281dc5,5 Seconds of Summer,pop rock
2282c539-05a2-477c-82b7-fe40798d37f3,6ix9ine,hip hop
07832b42-8826-4ab1-acd3-c49a2f595ffe,6LACK,contemporary r&b
30029ee1-8454-4ef3-a49b-5a5a6b2b9732,7th Veil,
48513f24-37d5-423f-b9b7-2b712af7f50d,9th Wonder,hip hop
eec63d3c-3b81-4ad4-b1e4-7c147d4d2b61,[no artist],special purpose artist
a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,[theatre],musical
125ec42a-7229-4250-afc5-e057484327fe,[unknown],special purpose artist
c1708d03-8a66-46eb-848e-fe0d233ffb39,A Boogie Wit da Hoodie,hip hop
f89aa182-ceec-4ef7-a96d-eb47a9fe6b15,A$AP Ant,hip hop
938bbcc7-3c04-4209-85fb-fa8b3dcd2672,A$AP Mob,hip hop
920fcaa0-a167-4cef-92c8-88c1724f6adc,A$AP Nast,hip hop
95f35260-5f18-4185-9926-9a4d191d737d,A$AP Twelvyy,hip hop
dc3d915a-6856-49aa-b5aa-e91cfbcb70fc,A$AP Yams,hip hop
020d89c7-92d3-491a-a4b1-f1c81045e0b1,A1,
9b7567f7-92a7-4ee4-8fcf-c5f44c16e5b0,A3,hip hop
bcb31fac-a9ee-49ab-bbfe-36b4a4898128,A7S,vocal house
bc85da58-52d9-457d-ae8d-5d8d4ec870a9,Aaliyah,pop
51480efb-34c3-4cdf-8d74-24bc2e9170f6,Aaman Ali Bangash,
86034d1d-f66e-426d-ad52-ca5511a9b428,Aaron Lewis,country
417beb52-b012-4a8f-9064-537d97522ce6,Aaron Shaw,experimental
71da9607-7855-4a47-960d-839b1cc4a408,Aaryn Doyle,
dce5bea6-5a72-4338-9ada-2b65151737b7,Abel the Kid,
f94ef716-56f4-43d7-b7c9-2f0f5ddbdb70,Above the Law,hip hop
30ef765d-f7bb-4e7e-8972-13be03aa4f2c,Absolutely,
acc12019-10e3-40aa-b4bf-66fbb4a692af,Ab‐Soul,hip hop
986ee464-cf8a-4e59-a71f-74756102067f,Ace Hood,hip hop
dbd1b11b-0ab2-4afd-8264-c2909237b6fb,Aceyalone,hip hop
031bc934-28c9-491a-8648-c078450187dc,Action Bronson,hip hop
32812b1f-c62e-4625-be28-812c190e5219,Adam Cohen,rock
e942594a-91cc-427a-8beb-6815c28e9254,Adam Lambert,pop
a1421d73-1a21-484b-97ad-77c9a5676daf,Adam Levine,pop
73c6928c-cc12-4708-b753-46da476fe41a,Adam Longlands,
870549f3-6266-496f-a019-5762aadb713c,Adam Port,
239c8eea-895e-4b6f-bfd5-3e51a61230df,Adassa,latin
399ae9ed-1817-41f7-bb8e-6f952f1ee935,Ade Omotayo,
a3ee920f-4e7f-4993-8aca-4b8538cfaa4a,Afrojack,house
5cc35970-eb45-4621-816a-ea3e65de782f,AG Cubano,
733b1da2-d8b6-458c-98c3-dd04c12280f1,Agoff,
15122bd0-ca47-4e33-8997-27255f5397ac,AI,contemporary r&b
8870ec41-3a85-4461-86bf-e2012307b30e,Aino Jawo,
57dd4661-9f78-4442-8836-482fab983008,Aitch,grime
f8df5456-b4cd-447e-93eb-2162ea7d2b33,Ajay Prasanna,
b5ca2d41-1af4-4e4b-91e9-f37532901819,Akbar V,
1138a764-2212-4d0a-b02d-0dc14df91e08,Akon,hip hop
eebdcbef-3f1f-4cf4-8b7d-be7182bfb708,Akshay Kumar,
b0e4bc50-3062-4d31-afad-def6a6b7a8e9,Alan Walker,electronic
673efe4a-cfda-4014-9b8c-a3fafff7ff21,Alberto Stylee,latin
8a68490f-415b-4bfb-8e19-9a6b1779639a,Alek Sandar,
540be8b5-41ec-4d43-a0bb-72436d5bfd78,Alemán,hip hop
52b87299-e6c1-461e-b3b7-d887f5a35682,Alessandro Safina,opera
97e69730-3791-423b-9770-287261588854,Alessia Cara,pop
addb00fd-733c-4223-8fdf-f78be2488acd,Alesso,progressive house
8adad0ba-68b3-40d2-853a-1e17604cec12,Alex Gárgolas,latin
233157b4-52b9-46ec-b9af-2e2f786afc8a,Alex Newman,
595fddb6-5c21-4f6a-91c8-7d3cd0208a1f,Alex Rose,dembow
de1c6c0b-3473-4af6-80d6-49b11687d453,Alexio,reggaeton
a99cb56b-5be3-483d-9ade-3dc9922b3cd3,Alexis Farshi,
288414bb-2cfc-4ce8-a221-7505071d1b4d,Alexis Jordan,
7fedfdaf-4146-4996-9e2a-a7e39080c329,Alina Baraz,alternative r&b
62162215-b023-4f0e-84bd-1e9412d5b32c,All Time Low,pop punk
a3653ff3-fd54-4883-93bb-1f8e08a735a6,Alley Boy,
7ca26727-4c4d-4211-a8c3-6461f591d9f2,Almighty,latin trap
311dc522-c8c6-4114-9b6c-3ed0ed41316f,Alok,dance
996fc8b5-e1c3-4113-9073-26e5f9a012bf,Alonestar,
f7999e87-9c18-4da8-9b99-31d02df4e4d8,Alori Joh,
792c0ec2-3255-4224-874e-f8482367e30f,Alpha Dream,
de72e87f-30bf-4a99-9715-a24abad31464,Alus,
2d4f683a-5965-4b64-baee-2681823dd1a1,Alyson Stoner,pop
de5e2133-1553-43f5-987f-3bbd03dde1c1,Alyssa Reid,
29fab96f-c3a2-4251-80f6-7ccda50da706,Amaarae,afrobeats
6875d5ba-d700-4e2e-8a9f-ec049dbea6c3,Amba Shepherd,electro house
edf4954c-019c-4b09-ba81-c56ec3d859f9,Amber Coffman,
404cc75b-cf7a-45a5-b708-aaccaa18a5f3,Amber Petty,
ce52a82d-219f-42b6-88b3-b69244c4752e,Amenazzy,latin
7740488b-2d31-422b-8764-1b39ba4e0f08,Amerigo Gazaway,hip hop
428e927a-e69e-43c4-acaf-c69b632a01da,AMG,hip hop
0e455850-74bd-4129-b95e-80c30b0d3297,Amir,
db3bc984-f5f8-4a3e-9371-036c35fb0807,Amx,
f40fb1a6-f1ff-4819-b9f1-8629fb4f36f6,Amy Millan,
d3b2bec4-b70e-460e-b433-a865ceac2de8,Anastacia,pop rock
d02dd67e-f655-4600-bc47-f789f59e7367,Anderson .Paak,r&b
c5a0a216-c33c-42dc-92b8-4b60236f8dad,Andrea Bocelli,classical
b74bec07-b1fd-4921-98dc-09d00885b6e4,Andres Williams,
420b9ee7-4cf3-4a47-bc54-75ecafb72a62,Andrew Hollander,
00136dd9-1047-4999-af1f-d709c5fa09f9,Andrew Watt,producer
14ced464-fd2f-4140-8fc6-c433bdd1c874,Andris Nelsons,classical
f563a1a9-069b-41ed-8b3b-e1b1a6f5b34b,André 3000,hip hop
32f93bdd-2673-4711-ae86-9e9f495486a8,Andy Boy,reggaeton
ec853694-30a1-4c7e-84e6-4ca87ee3c314,Andy C,drum and bass
d33b1bfa-d9e4-4543-b022-6b3fc87b1634,Andy Rivera,latin
77ba435f-11b2-4428-b87a-6cf1f84e9dba,Angel Demar,
dcd4701d-64ec-443d-bfbf-73fc87c44bd6,Angèle,pop
8882d694-77a8-4113-8525-f3436e21ea9f,Anika Noni Rose,
bbb5cd3a-551a-4a41-ade3-734d84ff3495,Anise K,
d606b860-cc03-4959-a3fd-3a24bccf2560,Anitta,funk
5c3dffd4-dc80-4331-a98e-101046d6b747,Anna Kendrick,actress
0ba4395d-105c-463b-a645-428fc876eb4c,Anna Maria Perez de Taglé,
4d7db1c4-3c00-4140-8c83-c6d99cfdecf4,Anna of the North,pop
631bec89-aed9-4fb7-995c-10f067e2606d,Anna Sofia,
21dce87c-0f36-4c81-abbf-e7d2c152d65f,Anna Wise,
e3d5b5ec-101a-4529-9f2d-01dca64cf44e,Anne‐Marie,dance-pop
e5e2b166-f480-4ee2-a77f-2faa4dfae71b,Anonimus,latin
40ee8fa3-c6d7-4556-b4e2-9f4114565043,Anoushka Shankar,indian classical
181848cb-f8ed-40c4-9acc-d74f115983c6,Anstam,
74d6a4f2-d466-4429-bcc8-a8ba930d874e,Ant Banks,hip hop
0843b9d2-da32-406b-8c31-2ac4a18e42a8,Ant Clemons,contemporary r&b
af7f5e8e-ac05-4d55-b860-a4dc72c78e66,Anthony Hamilton,contemporary r&b
a08a7932-c092-425b-a6cd-0b69e9176462,Anthony Ramos,
73e0d6aa-10cd-4646-b189-fc907f671445,Antonio Faraò,jazz
fef0e932-c8bc-4ba9-8a37-52aed5b0a633,Antony Santos,bachata
42012890-61a5-4c58-a97b-b93ef26effd3,Antwon,
87a75fc3-59e7-4598-925c-8e230bce5db9,Anuel AA,latin
54e965b5-235e-415f-bf0c-3bef104bacc5,Apache,
a1ed5e33-22ff-4e7d-a457-42f4309e135f,Aqua,europop
0e34ee8b-ac1f-4c95-aba7-856cca40ffb2,Arash,dance-pop
592d89bd-9f41-4bd4-9c80-0b1c825228fe,Arcángel & De La Ghetto,reggaeton
6fe9125b-bd80-4704-9084-56bc7e07e48f,Ari Lennox,r&b
5882e375-503f-4bd2-89b1-967e0bfcb199,Ariel Pink,lo-fi
471153fe-e4a0-47d6-9ba8-b9b227ba0f66,Arlissa,
b09b5127-c62e-4bb2-b790-1e4aa18749ed,Armand van Helden,house
477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df,Armin van Buuren,trance
95eefd18-8b94-4e14-9283-d31892ca6624,Arrow Benjamin,
4f1871b5-384d-42e1-8780-256bc072e789,Ash Riser,
a47ed6d5-480e-428c-8ce9-d7a6a571e857,Ashanti,r&b
cf7f0967-1a79-44ea-9435-2f1afad4dce5,Asher Monroe,
02ad42aa-ae57-4e35-b4b6-8e6697df6edb,Ashtrobot,
439f006d-2d8f-41d9-a2f1-b9990158d02c,Assassin’s Creed,
9e299bee-d7e2-49f3-8cd7-d6b28ab204d1,Atoms for Peace,electronic
7b5c9a78-5b21-4d58-9484-77d16619c96b,Audio Push,hip hop
7c24178a-8658-4e7f-889f-82013f8fd3f6,August Alsina,contemporary r&b
6ed53c03-7d8a-40a3-9909-87aa69d2e1d1,Austin Feinstein,
b69b9854-f568-4a50-b076-309c459946a8,Austin Mahone,pop
5786603e-4204-4836-b359-4e2ec1717015,Austin San,
410c9baf-5469-44f6-9852-826524b80c61,Autechre,idm
1aa9710b-413d-49ec-91b3-3ef403bf581f,AVAION,dance
c1112a36-eae0-4a04-a0b8-92553e70d14d,Average Joe,
c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,Avicii,progressive house
db4da9ba-c52b-4df9-876f-7c6db3582256,Axl Rose,rock
efd26416-1a29-4d67-ab5e-4f5704746851,Ayaan Ali Bangash,
3813a063-9d78-435e-afde-e996053dcc65,Ayah Marar,
0d8117e6-f3f6-4a2d-aaa1-2c4d02b4af49,Aygün Kazımova,pop
0506bf37-90d7-4654-9585-b4800dc945d5,AZ,hip hop
edfe284c-3d75-45aa-9eca-25e6cef83637,AzChike,hip hop
0c3505e7-d884-43cf-9028-d318607190a4,Azealia Banks,dance
a93a1778-5315-48d1-9f53-40538392ff59,Azjah,
a1c40f0c-ff6c-486e-b1b4-634bfdd75b62,Azure,
c1aef98c-76f3-41db-80b2-5ff42f1c7ef1,A‐Roma,
3935c835-229d-42dc-a198-2ed516e5b446,A‐Team,
47ea59b7-81c2-4001-8ac3-567877b3172a,A‐Trak,hip hop
48417062-1aab-4761-bed3-fd24158a9a4f,B Slade,
435837d0-9896-48f1-a80f-66579628ca06,B.G.,hip hop
94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,hip hop
92caf313-a918-472d-9feb-50ac01e910d0,Babu,hip hop
81d12ca7-5b89-4d21-8736-860b7400b4eb,Baby Keem,hip hop
91168051-1078-4896-a385-38f7e08c5758,Baby Money,
a5a37b5f-4928-4216-83f1-a8d24d9818b3,Baby Ranks,latin
0a81ff99-c783-4605-b338-863c182460ff,Baby Rasta,latin
379ec45a-d863-44b0-96be-47d19dd224c0,Baby Rasta & Gringo,reggaeton
8086c68d-e9b6-412a-9229-dee05a1a901d,Baby S,
cb393bcb-c5f3-4c04-b134-744d17c67cc2,BabyDrill,
d82481ab-4f2e-4fd7-af2f-9dbaa38704da,Babyface Ray,detroit trap
99e5ff38-fdf0-45b0-b411-f8de1cb1346f,Baby‐E,
2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,Backstreet Boys,pop
fdc1e207-70a4-4fea-a0f2-da44d42de64b,Bad Ass,
428bdc7a-373c-4cd0-b3a7-1cec7ce868bf,Bad Azz,hip hop
89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Bad Bunny,reggaeton
ec198d4b-f446-4821-ac3d-37d37b7449ce,Bad Lucc,
87f27b14-cbd0-44ea-93a3-6fead5cb45e7,Bad Meets Evil,hip hop
754294d5-d7d2-4ea2-8184-1dcaaf55a56f,BADBADNOTGOOD,hip hop
20543896-ec2c-48c4-b6b2-507c6cbe9918,Bailey Zimmerman,contemporary country
259dee1b-1213-4774-863d-f78223214806,Ball Greezy,
2d0ff034-bf75-4459-93be-d2076b0d6751,Bangladesh,
3d2042dd-3ccf-4ca0-87f5-dc367c187060,Bankroll Freddie,hip hop
be2f1034-a0e7-48e8-aca1-1003ce60fb7e,Bantu,
79708fc2-d3ae-4a1f-9514-3e49e8c056b6,Barbara Lewis,pop-soul
39f8268a-6149-440d-8056-d8268d8d6a13,Barrie‐James,
8ddf3da1-dfa9-490a-93cc-7d4072319995,Barrington Levy,dancehall
b02e4ca5-312a-4d2e-b087-30db9d5ec579,Barry Gibb,pop
3ba54400-4c97-450f-b108-bcd90b9b2b76,Bas,hip hop
52e52edb-5c7a-4d3d-882c-794a6e24060e,Bass Santana,
7808accb-6395-4b25-858c-678bbb73896b,Bastille,pop rock
e45db809-9fb2-489a-9e54-e51487b1a2c7,Battle Locco,
edf81f9b-d3f0-4d57-9636-d08e851b1640,Bazzi,pop
5b13c665-88eb-4e80-9a06-218a660fcf6b,BBC Symphony Orchestra,classical
08869348-f834-4070-b10e-8b863cf630ca,BBG Baby Joe,
b544133a-b262-451e-84b6-7bea2e61ce60,Beanie Sigel,hip hop
94ad436a-5854-482a-ac12-3c3af3a59ccb,Beat Frequency,
21a66c10-b4e2-4e87-89b6-f56bf46c990b,Beau Nox,
db8fad3a-e131-47a1-8782-c2ee93708cdd,Bebe Rexha,pop
309c62ba-7a22-4277-9f67-4a162526d18a,Beck,alternative rock
bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,Bee Gees,disco
b6d6c736-1b5d-444c-91fd-fed6d6832803,Bella Blue,
7e302507-6b78-4f3b-9c4c-e3b85580fad0,Belly,hip hop
05db443b-59c8-4596-a96b-4e7561fb5300,Ben Graham,
674bf89f-8e70-4472-929d-6b4ed6f98c88,Benny Benassi,electro house
5a6131f9-f8db-4722-b4d7-6a0c7183c590,benny blanco,pop
8ffb6b8e-3933-4f93-b315-8f5293b1b350,Benny the Butcher,hip hop
40f7afc3-44a8-4109-810a-738fbed49cb5,Benza,
c2108a56-8cfe-4930-84c3-0be018e6e7f6,Benzino,hip hop
9b9bd06b-58cf-4867-90c8-d2332e7ff5f7,Berner,gangsta rap
9a0d0b2d-a727-44a6-a172-53766f186834,Bernie Taupin,rock
c7e4e51b-df22-4ff3-9bb3-3a56d801e5be,Beverly Glenn‐Copeland,ambient
6fc93ecb-1b6f-4413-b674-7e8fd4ea19e6,BEXEY,
575ca0a7-c35a-4bd3-bbfc-044007922216,Beéle,latin
2c3ddff8-0de5-412a-8f0c-8925f84d5a9a,BIA,east coast hip hop
9c76170f-0d77-4aa3-b3c9-52f1ce07b9ec,Big & Rich,country
00a3eec9-fd81-48bb-b1ee-d61c6797d8e4,Big Ali,crunk
615fb10c-82e5-4b21-bce5-9e8f099aca0e,Big Bank Black,
9724aa19-fdf9-49d0-9f9d-944e462e2a5c,Big Boi,hip hop
8e75d270-4d53-4a4a-bc14-e3ace37ebd4e,Big Daddy Kane,hip hop
7e966957-9b0b-4e19-b8a0-4206535d8052,Big K.R.I.T.,hip hop
f1c0d18c-6101-4aa2-ae47-8df5b7280fde,Big L,hip hop
27d5e639-aa98-409e-a8c4-755cd43b305a,Big Narstie,grime
8c1b89d2-8d6c-4780-be0b-eed89b912d33,Big Pimpin’ DeLemond,hip hop
f3e28e17-a2e1-4d73-9d9e-323bbc4baa33,Big Pokey,hip hop
c7c8ca6b-cbb7-404d-8402-c456f4ee44ac,Big Prodeje,hip hop
609e7afd-3552-4102-9501-7611858ea320,Big Pun,hip hop
6757d72a-3ac9-4ccb-b69b-39f691477180,Big Red Machine,experimental
e7f0bd46-bbd8-4082-af04-2d053db7aed9,Big Rube,
5570be24-5c07-42aa-ad7f-385768de2aa4,Big Scoob,
73be9cf0-2b02-4a4c-9e2b-8f4b402ca72c,Big Syke,hip hop
94785e0f-81be-4360-a9e1-a00df5dc8bc6,Big Time Rush,teen pop
28658c41-ae08-45dc-b593-42d393df1381,Big Tray Deee,hip hop
430a451b-4e32-456d-ab29-4389c322ca45,Big Walter Horton,blues
015942b6-4c6e-44ba-aec5-c8de686b07a6,Bigg Limn,
b7ec073a-6401-4dfc-8b61-886cd166629f,Bigg Steele,
afbd8cb9-5d93-4260-bb7c-c746231b556a,BigWalkDog,trap
260097c7-d628-4a3f-966f-956ea430c0d8,Bilal,neo soul
2c63ab97-9552-4916-b4d2-c2ac11a2a51e,Bill Murray,spoken word
aa826c32-185e-48ab-b3d7-77bc1c41e322,Billy Cook,
64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,piano rock
63e8d6f9-e247-45c9-aaf2-e079cddbdd54,Billy Ray Cyrus,country
640db492-34c4-47df-be14-96e2cd4b9fe4,Billy Strings,bluegrass
9f462d00-d624-47cd-83a7-6772ffee7698,Bino Rideaux,hip hop
dcf5807c-ef1f-4291-b452-6824080ecac4,Birdman,hip hop
c899d283-63ce-426a-b639-8e2703e02d57,Birds of a Feather,
b39cee8e-d6da-476a-a229-c6a46bf99ad5,Bishop Lamont,hip hop
3b6abaef-febf-4cfe-943f-6a20cf0afdad,Bizarrap,trap latino
2ddb0e05-e6b2-4c6b-b2d4-08a20c1a0d1d,Bizarre,hip hop
af308783-61fb-492b-9c37-a8cf48f2f064,Bizzy Bone,hip hop
112beffb-1adc-488b-8d61-7b2ab3475d52,BJ the Chicago Kid,contemporary r&b
87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Björk,experimental
d952658a-d6cd-4f93-ab80-4776a958e3e7,Blac Youngsta,hip hop
d5be5333-4171-427e-8e12-732087c6b78e,Black Eyed Peas,hip hop
5dd0d6cb-1e19-4eac-99f3-b2d2aed1d39b,Black Hef,
6fc5c0c6-bf05-4b29-bda0-5fa6cc863785,Black Hippy,hip hop
5f39d33c-a167-4a63-9c44-71d27618b712,Black Thought,hip hop
24c92f9a-ba6b-42d7-b21b-17260b887d29,Black Ty,
e07d9474-00ea-4460-ac27-88b46b3d976e,blackbear,hip hop
48646387-1664-4c9a-9139-9bfd091b823c,BLACKPINK,k-pop
d72d000b-b860-44f4-9ac1-5d82e3fff9a9,Blackstreet,contemporary r&b
2ad66473-ccb3-41d2-8756-b56680cdfe62,Blake Shelton,country
58e235fc-f6ea-4614-9ed4-9855a5665ae1,Bleachers,alternative rock
77ad266b-a3f4-4014-bc9e-ea8461d80632,BLEU,hip hop
